usuario,negocio,prediccion_recomendador
1140,4911,5.5542974
1140,4183,5.45706
1140,2622,5.390514
1140,3208,5.3688736
1140,5746,5.3333836
1140,5398,5.26913
1140,5390,5.2383914
1140,2933,5.2165265
1140,5292,5.1237416
1140,3143,5.1176925
1140,3123,5.10407
1140,3999,5.099233
1140,1629,5.0301967
1140,2557,5.0011125
1140,24,4.886529
1223,1442,20.60795
1223,3136,13.923641
1223,774,13.683915
1223,25,11.73085
1223,5605,11.725709
1223,1820,10.256937
1223,3165,10.193109
1223,1164,10.182211
1223,144,9.756154
1223,4184,8.687759
1223,3119,7.555905
1223,4212,6.653998
1223,45,6.579458
1223,1637,6.2537317
1223,1940,5.584446
1223,5390,5.4633803
1223,522,5.340687
1223,2933,5.298844
1223,5833,5.1009393
1223,4717,5.06625
1223,5260,4.9084997
1223,250,4.60451
1223,5061,4.211795
1223,4183,4.2025523
1223,3703,4.1763196
1223,1385,4.0765104
1223,5521,4.03297
1223,5081,3.955006
1223,1775,3.8856604
1223,5336,3.749834
1223,2138,3.7231998
1223,2613,3.6753983
1223,3330,3.449554
1223,1404,3.4276204
1223,3842,3.3776708
1223,5169,3.3261936
1223,1178,3.2968607
1223,3999,3.2808125
1223,3732,3.2562716
1223,2344,3.0551443
1223,3974,2.9996219
1223,3758,2.9659295
1223,2325,2.9278593
1223,5746,2.872129
1223,2257,2.8511324
1223,3123,2.83603
1223,4455,2.830143
1223,1676,2.8186502
1223,4088,2.7270312
1223,357,2.7118526
1483,1442,63.36671
1483,5168,42.25575
1483,2344,39.68287
1483,1631,37.81827
1483,2775,30.993938
1483,2557,25.39186
1483,24,24.003931
1483,473,20.54633
1483,858,19.440922
1483,3398,15.284717
1483,1411,14.1079445
1483,5484,14.095609
1483,3165,14.063596
1483,774,13.977646
1483,2403,13.336396
1483,3417,13.268295
1483,1917,12.944525
1483,789,12.844834
1483,2359,12.709604
1483,2013,12.224905
1483,1133,12.0704365
1483,104,11.997766
1483,5278,11.915131
1483,3209,11.853648
1483,2424,11.584
1483,5454,11.4007845
1483,1066,11.159234
1483,900,11.143131
1483,1178,10.941104
1483,5658,10.849395
1483,1843,10.636362
1483,4184,10.574721
1483,5055,10.528857
1483,4543,10.52349
1483,1152,10.374044
1483,1093,10.195868
1483,566,10.080261
1483,3133,9.920303
1483,4671,9.906799
1483,2617,9.774843
1483,1462,9.516514
1483,4359,9.499939
1483,798,9.49835
1483,5768,9.402033
1483,5176,9.358218
1483,5215,9.336809
1483,5083,9.146021
1483,4088,9.030853
1483,4364,8.977037
1483,1598,8.706225
1507,5747,6.2000036
1507,4610,2.89019
1507,3081,2.8797503
1507,1489,2.7749648
1507,4729,2.6516368
1507,2015,1.8208927
1507,4845,1.8125463
1507,1743,1.7859614
1507,2054,1.7231967
1507,2557,1.586734
1507,2790,1.5368257
1507,3004,1.450037
1507,5176,1.450037
1507,5044,1.3822496
1507,3828,1.3822496
1507,4241,1.3130643
1507,1361,1.2739195
1507,2616,1.2739195
1507,1436,1.2739195
1507,3019,1.264595
1507,999,1.264595
1507,1093,1.2294605
1507,1702,1.1057997
1507,5499,0.9697622
1507,5768,0.9097177
1507,5285,0.9097177
1507,5444,0.8913377
1507,1870,0.8913377
1507,3686,0.7668258
1507,558,0.72777414
1507,45,0.6685033
1507,1260,0.36417854
1507,5493,0.36417854
1507,2344,0.29418528
1507,4088,0.29418528
1507,262,0.25291902
1507,2761,0.25291902
1507,3737,0.25291902
1507,4031,0.22063896
1507,4292,0.22063896
1507,2129,0.0
1507,1958,0.0
1507,1941,0.0
1507,1963,0.0
1507,1962,0.0
1507,1949,0.0
1507,1966,0.0
1507,1968,0.0
1507,1948,0.0
1507,1960,0.0
1613,2463,70.04002
1613,1870,63.611645
1613,5585,60.18414
1613,5037,44.196774
1613,44,40.484398
1613,3586,30.248503
1613,4143,29.636803
1613,3647,28.65675
1613,5450,22.944645
1613,5819,17.277235
1613,1189,16.92588
1613,5697,12.448587
1613,3455,10.137208
1613,2245,9.205886
1613,3622,8.562269
1613,465,7.8801136
1613,2010,7.6685047
1613,45,7.3666315
1613,3523,6.86543
1613,3939,5.707064
1613,2884,5.5497327
1613,3598,4.654081
1613,1442,4.3251677
1613,3732,4.2510157
1613,4590,4.204887
1613,4241,4.094823
1613,880,3.9277055
1613,4216,3.8680377
1613,1020,3.710105
1613,2770,3.6299796
1613,440,3.5174594
1613,522,3.4939802
1613,504,3.4427996
1613,24,3.3445544
1613,5292,3.3338656
1613,4464,3.265952
1613,2536,3.2019472
1613,4717,3.1728463
1613,2557,3.1248026
1613,2690,3.12459
1613,5812,3.1025212
1613,1475,2.9488392
1613,5833,2.9311304
1613,25,2.872941
1613,4235,2.7666836
1613,3052,2.6226168
1613,2344,2.5844646
1613,3165,2.552045
1613,4739,2.4987803
1613,1798,2.443389
1619,1442,70.02026
1619,104,40.152687
1619,1164,32.660027
1619,5605,31.955128
1619,25,28.79549
1619,1820,28.118345
1619,3136,23.434982
1619,4184,21.732689
1619,3732,20.23017
1619,1676,18.569183
1619,4712,18.073618
1619,5292,17.277607
1619,5169,14.616021
1619,3165,14.497255
1619,1637,14.453403
1619,3119,14.223747
1619,250,13.194848
1619,1302,13.154004
1619,3064,12.369211
1619,24,12.197044
1619,4183,11.859276
1619,2933,11.593692
1619,1404,11.590909
1619,5390,11.531261
1619,4717,11.07906
1619,2344,9.750485
1619,5521,9.603139
1619,45,9.42538
1619,1385,9.384617
1619,1940,9.370944
1619,5081,9.339524
1619,522,9.234757
1619,5746,9.201045
1619,3653,9.007219
1619,122,8.715393
1619,2872,8.677714
1619,1775,8.593073
1619,1186,8.587518
1619,3974,8.188841
1619,5833,7.880683
1619,4567,7.410433
1619,357,7.387636
1619,473,7.286418
1619,5083,7.274172
1619,3951,7.1919193
1619,5855,7.164343
1619,4235,7.061328
1619,5052,7.0318856
1619,5647,6.943008
1619,2373,6.843775
1663,1442,25.822828
1663,104,15.270866
1663,4235,14.595846
1663,3165,12.86759
1663,774,12.489032
1663,5169,12.150875
1663,5605,9.043204
1663,1404,8.42654
1663,24,8.259048
1663,4567,7.8393736
1663,1940,7.5988913
1663,1164,7.1516147
1663,144,6.9042873
1663,2933,6.8417006
1663,4771,6.374141
1663,522,6.3023443
1663,2344,5.956494
1663,5398,5.691742
1663,3136,5.6688366
1663,3974,5.583434
1663,25,5.282479
1663,3999,4.560129
1663,5071,4.5598536
1663,596,4.5308805
1663,4183,4.427727
1663,1775,4.342109
1663,5260,4.233204
1663,4146,4.198625
1663,1637,4.1918235
1663,1730,4.159593
1663,3064,4.123266
1663,3951,4.056367
1663,2436,3.9643633
1663,250,3.9295917
1663,129,3.9275
1663,226,3.5560236
1663,4359,3.3881989
1663,3732,3.3820996
1663,5176,3.3519063
1663,5111,3.2466965
1663,3653,3.2087514
1663,45,3.104409
1663,5390,3.094051
1663,2613,3.0889773
1663,3209,3.0814743
1663,1975,3.0484529
1663,1820,3.0477707
1663,122,3.0183382
1663,1608,3.0158405
1663,357,2.968837
1695,3732,7.551666
1695,1631,7.1553397
1695,5168,5.7803926
1695,2775,5.4061594
1695,789,4.124691
1695,1152,3.9681535
1695,4634,3.283524
1695,24,3.2639213
1695,3991,2.7752295
1695,2344,2.5992389
1695,2557,2.5792434
1695,4359,2.506204
1695,473,2.501395
1695,774,2.4887974
1695,4567,2.4499094
1695,228,2.4427772
1695,522,2.434172
1695,1442,2.4304814
1695,3614,2.3737564
1695,5641,2.357057
1695,4968,2.2699149
1695,3417,2.246288
1695,1164,2.19301
1695,550,2.0788836
1695,1411,2.0663037
1695,3945,2.0526829
1695,5285,2.0240455
1695,904,2.0200062
1695,2307,2.0148714
1695,2662,1.9789228
1695,3822,1.8853726
1695,2083,1.8684692
1695,4073,1.8096395
1695,4850,1.8017302
1695,2013,1.7416133
1695,1260,1.6856823
1695,3165,1.6543527
1695,880,1.6281838
1695,3084,1.6232232
1695,817,1.619899
1695,900,1.619078
1695,2199,1.6186106
1695,4184,1.6184351
1695,3649,1.5684578
1695,5299,1.550353
1695,104,1.5427165
1695,357,1.5115545
1695,832,1.490712
1695,4593,1.490712
1695,381,1.490712
1768,1631,33.737827
1768,2775,26.276106
1768,45,24.121159
1768,4464,18.67908
1768,1442,18.017054
1768,900,17.18697
1768,2307,16.462944
1768,789,16.267353
1768,3417,14.593193
1768,5259,14.150024
1768,4122,13.599515
1768,522,13.405683
1768,880,13.05988
1768,5278,12.789541
1768,858,12.701623
1768,2013,12.535281
1768,2199,12.0023365
1768,1843,11.967897
1768,4671,11.818965
1768,2044,11.812948
1768,5658,11.06072
1768,2662,10.964062
1768,1066,10.601007
1768,5484,8.459711
1768,3133,8.436492
1768,1729,8.422527
1768,3614,8.366176
1768,3228,8.365709
1768,2344,8.352301
1768,1917,8.3173685
1768,1133,7.999595
1768,5768,7.388851
1768,4453,7.214684
1768,692,7.202969
1768,2359,7.1948223
1768,5215,7.1143093
1768,2508,6.9557905
1768,4534,6.9527164
1768,1710,6.873308
1768,2101,6.6896434
1768,2426,6.582377
1768,4012,6.5766478
1768,2078,6.559706
1768,4167,6.489434
1768,5843,6.402322
1768,3991,6.3942165
1768,774,6.3719234
1768,3084,6.316163
1768,2132,6.2272587
1768,4088,6.159206
1793,44,117.88917
1793,4550,85.549126
1793,4143,74.75272
1793,5037,61.507435
1793,5450,57.940296
1793,3647,35.243816
1793,5819,33.25308
1793,1189,29.413624
1793,5697,26.551846
1793,2245,23.076063
1793,3455,20.798784
1793,3622,17.918541
1793,2884,17.725521
1793,3967,16.155113
1793,1410,12.897424
1793,5835,12.844718
1793,490,11.004033
1793,2010,10.413356
1793,465,9.791298
1793,614,9.181652
1793,2838,9.16949
1793,45,8.940757
1793,628,7.5905433
1793,5851,7.5046644
1793,3939,7.365969
1793,3732,7.033909
1793,5444,7.0308595
1793,5471,6.6920605
1793,2770,6.589937
1793,3607,6.3240213
1793,5115,6.277397
1793,774,6.052303
1793,3209,5.7973394
1793,1442,5.564931
1793,2636,5.438774
1793,1940,4.624538
1793,4184,4.581835
1793,2536,4.5662355
1793,2344,4.263869
1793,880,4.21583
1793,3598,4.131959
1793,3303,3.905157
1793,4216,3.891148
1793,764,3.6486812
1793,3736,3.6484587
1793,1487,3.5790327
1793,1767,3.4963741
1793,3933,3.4609492
1793,1103,3.2185447
1793,341,3.2060595
1801,5605,52.06641
1801,104,33.206745
1801,1164,27.487316
1801,25,27.45222
1801,3136,27.387707
1801,4184,22.86512
1801,4712,18.902485
1801,3119,17.71163
1801,3165,16.67647
1801,1385,16.102623
1801,1302,15.59835
1801,5292,15.131527
1801,250,15.012069
1801,5081,14.804142
1801,1637,14.414774
1801,5169,14.228496
1801,1676,13.931676
1801,45,13.586285
1801,2325,12.610657
1801,3974,12.184874
1801,5390,11.871005
1801,5746,11.519126
1801,5521,11.419183
1801,122,9.649958
1801,1631,9.604424
1801,1775,9.501473
1801,3951,9.470278
1801,858,9.384387
1801,24,9.296329
1801,3064,9.274833
1801,2775,9.241447
1801,61,8.860212
1801,1819,8.846913
1801,4567,8.61827
1801,2933,8.335047
1801,2344,8.152018
1801,2942,7.8438835
1801,2872,7.8064346
1801,1152,7.5973477
1801,4235,7.5670853
1801,4183,7.5041027
1801,522,7.502526
1801,5833,7.3627114
1801,2373,7.310728
1801,1404,7.1106405
1801,5260,7.0887566
1801,3123,6.958043
1801,5168,6.903455
1801,4591,6.8753195
1801,5855,6.73779
1881,774,59.070415
1881,104,46.67001
