user,hotel_recomendado,hotel_historico_id,hotel_historico_name,numero_propiedades_total,lista_propiedades_completa
3,1164,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,1164,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,1164,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,1164,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,1442,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,1442,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,1442,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,1442,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,1487,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,1487,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,1487,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,1487,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,1608,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,1608,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,1608,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,1608,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,163,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,163,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,163,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,163,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,1693,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,1693,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,1693,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,1693,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,1729,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,1729,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,1729,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,1729,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2085,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2085,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2085,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,2085,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2101,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2101,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2101,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,2101,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2109,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2109,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2109,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,2109,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2290,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2290,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2290,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,2290,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2344,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2344,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2344,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,2344,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,25,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,25,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,25,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,25,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2557,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2557,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2557,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,2557,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2617,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2617,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2617,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
3,2617,1783,Independence Visitor Center,26,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:141 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Arts & Entertainment | category:Visitor Centers | category:Museums | category:Restaurants | category:Ticket Sales | category:Local Flavor | category:Breakfast & Brunch | category:Travel Services | attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:OutdoorSeating=False | attribute:GoodForKids=True | attribute:WiFi=free | attribute:RestaurantsTakeOut=False | attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:Alcohol=none | attribute:ByAppointmentOnly=False | coordinates:(39.9510, -75.1500)"
3,2963,457,Elfreth's Alley,9,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.5 stars | review_count:61 reviews | category:Tours | category:Landmarks & Historical Buildings | category:Public Services & Government | coordinates:(39.9528, -75.1425)"
3,2963,2513,The Betsy Ross House,10,"city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | review_count:131 reviews | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours | category:Historical Tours | coordinates:(39.9523, -75.1446)"
3,2963,1941,Best Western Plus Philadelphia Airport South,10,"city:Chester | state:PA | postal_code:19013 | rating:3.0 stars | review_count:51 reviews | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsPriceRange2=2 | coordinates:(39.8600, -75.3603)"
