user,hotel_recomendado,hotel_ejemplo_id,numero_propiedades,lista_propiedades
3,3136,1783,4,category:Arts & Entertainment | category:Local Flavor | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,3165,457,0,Ninguna
3,3165,2513,0,Ninguna
3,3165,1941,4,category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,3165,1783,4,category:Arts & Entertainment | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False
3,3178,457,2,city:Philadelphia | state:PA
3,3178,2513,2,city:Philadelphia | state:PA
3,3178,1941,1,state:PA
3,3178,1783,2,city:Philadelphia | state:PA
3,3209,457,3,city:Philadelphia | state:PA | category:Public Services & Government
3,3209,2513,4,city:Philadelphia | state:PA | rating:4.0 stars | category:Public Services & Government
3,3209,1941,2,state:PA | attribute:WiFi=free
3,3209,1783,5,city:Philadelphia | state:PA | category:Public Services & Government | attribute:WiFi=free | attribute:ByAppointmentOnly=False
3,3237,457,4,city:Philadelphia | state:PA | postal_code:19106 | category:Tours
3,3237,2513,4,city:Philadelphia | state:PA | postal_code:19106 | category:Tours
3,3237,1941,3,state:PA | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True
3,3237,1783,4,city:Philadelphia | state:PA | postal_code:19106 | attribute:BusinessAcceptsCreditCards=True
3,3484,457,3,city:Philadelphia | state:PA | postal_code:19106
3,3484,2513,3,city:Philadelphia | state:PA | postal_code:19106
3,3484,1941,1,state:PA
3,3484,1783,3,city:Philadelphia | state:PA | postal_code:19106
3,3732,457,0,Ninguna
3,3732,2513,1,rating:4.0 stars
3,3732,1941,3,attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,3732,1783,4,attribute:RestaurantsDelivery=False | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:WiFi=free
3,3737,457,2,city:Philadelphia | state:PA
3,3737,2513,2,city:Philadelphia | state:PA
3,3737,1941,1,state:PA
3,3737,1783,2,city:Philadelphia | state:PA
3,393,457,2,state:PA | category:Tours
3,393,2513,2,state:PA | category:Tours
3,393,1941,3,state:PA | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,393,1783,4,state:PA | category:Arts & Entertainment | attribute:BusinessAcceptsCreditCards=True | attribute:GoodForKids=True
3,4088,457,3,category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,4088,2513,4,rating:4.0 stars | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,4088,1941,0,Ninguna
3,4088,1783,6,category:Arts & Entertainment | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Museums | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,4122,457,0,Ninguna
3,4122,2513,1,rating:4.0 stars
3,4122,1941,3,category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,4122,1783,2,attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,4183,457,0,Ninguna
3,4183,2513,0,Ninguna
3,4183,1941,3,category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,4183,1783,8,category:Restaurants | attribute:OutdoorSeating=False | attribute:RestaurantsDelivery=False | attribute:RestaurantsTakeOut=False | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:RestaurantsReservations=True | attribute:GoodForKids=True
3,4359,457,0,Ninguna
3,4359,2513,1,rating:4.0 stars
3,4359,1941,2,category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True
3,4359,1783,7,category:Restaurants | category:Arts & Entertainment | category:Museums | category:Travel Services | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,4464,457,1,rating:4.5 stars
3,4464,2513,0,Ninguna
3,4464,1941,3,category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,4464,1783,8,rating:4.5 stars | category:Restaurants | category:Arts & Entertainment | attribute:RestaurantsDelivery=False | attribute:RestaurantsTakeOut=False | attribute:BusinessAcceptsCreditCards=True | attribute:WiFi=free | attribute:GoodForKids=True
3,45,457,2,city:Philadelphia | state:PA
3,45,2513,2,city:Philadelphia | state:PA
3,45,1941,3,state:PA | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,45,1783,5,city:Philadelphia | state:PA | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False
3,473,457,2,rating:4.5 stars | category:Tours
3,473,2513,2,category:Historical Tours | category:Tours
3,473,1941,2,attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,473,1783,8,rating:4.5 stars | category:Restaurants | category:Arts & Entertainment | category:Museums | category:Local Flavor | attribute:OutdoorSeating=False | attribute:BusinessAcceptsCreditCards=True | attribute:GoodForKids=True
3,4825,457,2,city:Philadelphia | state:PA
3,4825,2513,2,city:Philadelphia | state:PA
3,4825,1941,6,state:PA | rating:3.0 stars | category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,4825,1783,4,city:Philadelphia | state:PA | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,4830,457,2,city:Philadelphia | state:PA
3,4830,2513,2,city:Philadelphia | state:PA
3,4830,1941,2,state:PA | attribute:WiFi=free
3,4830,1783,4,city:Philadelphia | state:PA | attribute:WiFi=free | attribute:ByAppointmentOnly=False
3,4942,457,4,city:Philadelphia | state:PA | postal_code:19106 | category:Tours
3,4942,2513,4,city:Philadelphia | state:PA | postal_code:19106 | category:Tours
3,4942,1941,4,state:PA | rating:3.0 stars | category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True
3,4942,1783,4,city:Philadelphia | state:PA | postal_code:19106 | attribute:BusinessAcceptsCreditCards=True
3,4990,457,1,state:PA
3,4990,2513,2,state:PA | rating:4.0 stars
3,4990,1941,3,state:PA | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,4990,1783,7,state:PA | category:Restaurants | category:Local Flavor | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True | attribute:RestaurantsReservations=True
3,5061,457,1,category:Tours
3,5061,2513,2,rating:4.0 stars | category:Tours
3,5061,1941,0,Ninguna
3,5061,1783,2,"attribute:BusinessParking={garage: True, street: False, validated: False, lot: False, valet: False} | attribute:GoodForKids=True"
3,522,457,0,Ninguna
3,522,2513,0,Ninguna
3,522,1941,2,attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,522,1783,4,attribute:OutdoorSeating=False | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False
3,5605,457,1,category:Tours
3,5605,2513,1,category:Tours
3,5605,1941,2,category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True
3,5605,1783,4,category:Arts & Entertainment | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,5855,457,1,category:Tours
3,5855,2513,1,category:Tours
3,5855,1941,0,Ninguna
3,5855,1783,0,Ninguna
3,774,457,4,rating:4.5 stars | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,774,2513,3,category:Public Services & Government | category:Landmarks & Historical Buildings | category:Tours
3,774,1941,0,Ninguna
3,774,1783,7,rating:4.5 stars | category:Arts & Entertainment | category:Public Services & Government | category:Landmarks & Historical Buildings | category:Museums | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
3,888,457,0,Ninguna
3,888,2513,0,Ninguna
3,888,1941,3,category:Event Planning & Services | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsPriceRange2=2
3,888,1783,8,category:Restaurants | attribute:ByAppointmentOnly=False | attribute:OutdoorSeating=False | attribute:RestaurantsDelivery=False | attribute:RestaurantsTakeOut=False | attribute:BusinessAcceptsCreditCards=True | attribute:RestaurantsReservations=True | attribute:GoodForKids=True
3,901,457,3,city:Philadelphia | state:PA | postal_code:19106
3,901,2513,3,city:Philadelphia | state:PA | postal_code:19106
3,901,1941,5,state:PA | rating:3.0 stars | category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,901,1783,5,city:Philadelphia | state:PA | postal_code:19106 | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,907,457,4,city:Philadelphia | state:PA | postal_code:19106 | category:Tours
3,907,2513,5,city:Philadelphia | state:PA | postal_code:19106 | rating:4.0 stars | category:Tours
3,907,1941,4,state:PA | category:Event Planning & Services | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True
3,907,1783,9,city:Philadelphia | state:PA | postal_code:19106 | category:Arts & Entertainment | category:Museums | attribute:WiFi=free | attribute:BusinessAcceptsCreditCards=True | attribute:ByAppointmentOnly=False | attribute:GoodForKids=True
